InventoryID_x,Source_x,LanguageCode_x,LanguageName_x,Glottocode_x,GlottologName_x,Trump_x,LanguageFamilyRoot_x,LanguageFamilyGenus_x,Country_x,Area_x,Population_x,Latitude_x,Longitude_x,Phonemes_x,Consonants_x,Tones_x,Vowels_x,InventoryID_y,Source_y,LanguageCode_y,LanguageName_y,Glottocode_y,GlottologName_y,Trump_y,LanguageFamilyRoot_y,LanguageFamilyGenus_y,Country_y,Area_y,Population_y,Latitude_y,Longitude_y,Phonemes_y,Consonants_y,Tones_y,Vowels_y,elevation
414,UPSID,kjs,KEWA,east2516,East Kewa,1,trng,Engan,Papua New Guinea,Pacific,45000,-6.32989,143.931,20,15,0,5,414.0,UPSID,kjs,KEWA,east2516,East Kewa,1.0,trng,Engan,Papua New Guinea,Pacific,45000,-6.32989,143.931,20.0,15.0,0.0,5.0,2023.562744140625
415,UPSID,kkw,TEKE,teke1280,Teke-Kukuya,1,ncon,Bantoid,Congo,Africa,38800,-2.27122,14.4407,28,21,0,7,415.0,UPSID,kkw,TEKE,teke1280,Teke-Kukuya,1.0,ncon,Bantoid,Congo,Africa,38800,-2.27122,14.4407,28.0,21.0,0.0,7.0,637.0862426757812
416,UPSID,kla,KLAMATH,klam1254,Klamath-Modoc,1,penu,Klamath-Modoc,United States,America,1,42.5861,-121.704,37,33,0,4,416.0,UPSID,kla,KLAMATH,klam1254,Klamath-Modoc,1.0,penu,Klamath-Modoc,United States,America,1,42.5861,-121.704,37.0,33.0,0.0,4.0,1396.538696289062
417,UPSID,klu,KLAO,klao1243,Klao,1,ncon,Kru,Liberia,Africa,213000,6.872330000000001,-10.9214,27,11,0,16,417.0,UPSID,klu,KLAO,klao1243,Klao,1.0,ncon,Kru,Liberia,Africa,213000,6.872330000000001,-10.9214,27.0,11.0,0.0,16.0,62.16053771972656
418,UPSID,kmo,KWOMA,kwom1262,Kwoma,2,sepr,Middle Sepik,Papua New Guinea,Pacific,3000,-4.08721,142.664,31,24,0,7,418.0,UPSID,kmo,KWOMA,kwom1262,Kwoma,2.0,sepr,Middle Sepik,Papua New Guinea,Pacific,3000,-4.08721,142.664,31.0,24.0,0.0,7.0,41.99986267089844
419,UPSID,kmr,KURDISH,nort2641,Northern Kurdish,1,ieur,Iranian,Turkey,Asia,3950000,37.0,43.0,47,30,0,17,419.0,UPSID,kmr,KURDISH,nort2641,Northern Kurdish,1.0,ieur,Iranian,Turkey,Asia,3950000,37.0,43.0,47.0,30.0,0.0,17.0,738.4686279296875
420,UPSID,kna,KANAKURU,dera1248,Dera (Nigeria),1,afas,West Chadic,Nigeria,Africa,20000,10.072000000000001,12.0256,35,24,0,11,420.0,UPSID,kna,KANAKURU,dera1248,Dera (Nigeria),1.0,afas,West Chadic,Nigeria,Africa,20000,10.072000000000001,12.0256,35.0,24.0,0.0,11.0,291.2321166992188
421,UPSID,knc,KANURI,cent2050,Central Kanuri,2,nsah,Western Saharan,Nigeria,Africa,3000000,11.8863,16.3918,29,23,0,6,421.0,UPSID,knc,KANURI,cent2050,Central Kanuri,2.0,nsah,Western Saharan,Nigeria,Africa,3000000,11.8863,16.3918,29.0,23.0,0.0,6.0,311.6372985839844
422,UPSID,knn,KONKANI,konk1267,Konkani,2,ieur,Indic,India,Asia,4000000,19.2414,73.9166,37,19,0,18,422.0,UPSID,knn,KONKANI,konk1267,Konkani,2.0,ieur,Indic,India,Asia,4000000,19.2414,73.9166,37.0,19.0,0.0,18.0,725.0313720703125
423,UPSID,kor,KOREAN,kore1280,Korean,2,asis,Korean,"Korea, South",Asia,42000000,37.5,128.0,32,21,0,11,423.0,UPSID,kor,KOREAN,kore1280,Korean,2.0,asis,Korean,"Korea, South",Asia,42000000,37.5,128.0,32.0,21.0,0.0,11.0,330.0666809082031
